date,time,username,tweet,Food Delivery,Aspect,Sentiment
2020-08-31,12:29:18,khunnchin,เป็นอะไรเอ่ย เหมือนกูตายเลยเนาะ นังตัวดี!!!!!!! #GrabFood #GrabFoodSignaCher pic.twitter.com/UvdoeLoVnQ,Yes,System,Negative
2020-08-31,08:30:59,pratzajeep,"เห็นแล้วหิวกับ #GrabFoodSignaCher
สั่งเลย ที่ #GrabFood",Yes,Company,Neutral
2020-08-30,19:00:58,fishibumiemook,ร้านโบ้ยอย่างเดียวเลยผลักภาระให้ลูกค้ากับไรเดอร์ โมโหมาก โมโหจนแร๊พด่าเลย ตัวเองไม่มีของก็กดยกเลิกเองสิ ไม่อยากเสียเครดิต ไม่อยากเสียเปอร์เซนต์ แต่จะให้ไรเดอร์กับลูกค้ามาเสียเองอ่ะนะ ใช้ได้เหรอวะถามก่อน งง [2] ปล.สั่งผ่านแกร๊ป #GrabFood #grabth ส่วนร้านที่สั่ง,No,,
2020-08-30,13:15:47,tnwlambic,"หิวๆตอนฝนตก สั่ง Grab ได้ไหม 
มีความหิว แต่ก็สงสารคนขับ

#grab #GrabFood #grabfoodth",Yes,Employee,Neutral
2020-08-30,12:48:11,mayxdz,กดสั่งตั้งแต่ 12.01 น. ขนมจีน 2 ถุง ทำไมมันใช้เวลาเตรียมนานจัง แล้วกดแคนเซิลไม่ได้ด้วยนะ รอเกือบชั่วโมง ฮัลโหลลล ละคนขับก็ไม่แจ้งอะไรเลย พอติดต่อเจ้าหน้าที่ผ่านแชท ไม่ให้ยกเลิกบอกคนขับกำลังมา กำลังมาตรงไหนอะ ยังขึ้นว่า Prepare order อยู่เลย 👎🏻#GrabFood #grabfoodth pic.twitter.com/14B7HoYJNm,Yes,Employee,Negative
2020-08-29,22:14:07,modareaaaa,ประท้วงให้ร้านค้าแกร็บช่วยเอารูปที่เหมือนของกินร้านตัวเองลงทีอิเหี้ย อยากได้เกินจริงให้ดูน่ากินไม่ว่านะ แต่เอาที่แบบให้มันเป็นของกินที่ร้านตัวเองอะ นี่กดสั่งโจ็กรูปแม่งคือโจ็กขาวมาเลย มาถึงคือข้าวกล้อง อิดอก แม่งน้ำตาล หวานปะแล่มมาก กรี๊ด #GrabFood,No,,
2020-08-29,21:52:46,skyblue24__7,เฮ้อ ดูละหิว กดสั่ง #GrabFood ดีกว่า 😉 แต่ถ้าแกรบหล่อเราจะส่ง wink 3 ครั้งให้เค้าจะปังเหมือนในเพลงนี้ไหมอะ #WinkWa3KaiTH,Yes,Company,Neutral
2020-08-29,17:41:54,pormesureerat,"เจอ  grab หล่อจะบอกต่อใครดี
#grabfood",Yes,Employee,Neutral
2020-08-29,17:03:24,chompu13001,"คนที่ขี้เกียจกว่าฉันในวันนี้ ก็คือ
ฉันในวันพรุ่งนี้ ฉันผู้สั่ง #GrabFood 
ให้ซื้อส้มตำหน้าหอ ที่แค่ข้ามถนนไปก็
ถึงร้านเลย เสียค่าส่ง 10 บาท แลกกับ
การที่ฉันจะต้องไปยืนสั่งและรอเอง 
เอ้อคุ้มแหละเนอะ 🤣🤣🤣🤣🤣  pic.twitter.com/Y2GX0qLG5H",No,,
2020-08-29,13:30:42,galaxiepote,ใช้โค้ดส่งฟรีเสือกหาคนขับไม่เจอ พอไม่ใช้โค้ดเจอทันทีเลยนะ ควย #GrabFood #grabth @GrabTH,Yes,Price,Negative
