date,time,username,tweet,Food Delivery,Aspect,Sentiment
2020-08-23,16:30:40,pinkzaa_zaa,"ใช้แต่ #LINEMAN มาตลอด
_________________________________________
เผอิญไม่เน้นส่งฟรี เน้นส่งดี! 😌",Yes,Company,Positive
2020-08-23,11:29:02,roseapple110,มีคนเจอปัญหาไรเดอร์โทรหาไม่ติดตอนที่ปิดแอปทิ้งไว้ไหม นี่เป็นมาสองรอบแล้ว ต้องโทรตามออเดอร์เองถึงจะโทรติด พอโทรติดก็โดนด่าเพราะไม่รับทรศ.ทั้งที่มันไม่มีสายเข้าเลย อยากรู้ว่าเป็นที่แอปหรือเป็นที่เครือข่ายทรศ. #LINEMAN #ไลน์แมน,Yes,Employee,Negative
2020-08-22,18:58:12,twitneearoi,"เมนูโปรดของแมวอ้วนอย่างเรา วันนี้ขอเสนออออ ""ข้าวแมวกะพง"" ปลากะพงทอดชิ้นใหญ่ กรอบนอกนุ่มใน คลุกกับข้าวหอมนุ่มๆ เคล้ากับเครื่องเคียงครบรส ดีย์ ❤️
📍นิลทิมพง เมนูปลาเพื่อสุขภาพ
🛵 Grab Food | Line Man 

#อร่อยบอกต่อ #อร่อยไปเเดก #รีวิวอาหาร #Grabfood #LINEMAN @aroii @aroiipaiadk pic.twitter.com/VRmdQhifM8",No,,
2020-08-22,17:08:50,belloir_sj,"ขั้นกว่าของการเลี้ยงหมี คือการอาบน้ำด้วย #แลคตาซอย
จริงๆ #แบนสปอนเซอร์เนชั่น #แบนเนชั่น แต่แถวนี้มี #foodpanda เจ้าเดียว วอน #grab #LINEMAN ลงมาแข่งหน่อย  pic.twitter.com/UQOIxZE1Mz",No,,
2020-08-22,16:23:15,ifiend_,แต่ #lineman โปรลดเข้าร่วมเยอะกว่านะ,Yes,Price,Positive
2020-08-22,16:02:12,jambgjs,จะดีมากถ้า #LINEMAN มีระบบตัดบัตรทันที เพราะนี้ไม่ค่อยพกเงินสด 🥺🥺🥺🥺,Yes,System,Neutral
2020-08-22,10:40:02,longmareview,"อยากกินชานมไข่มุก คิดไม่ออก🤨
นึกถึงคามูเลย💓
โปรรร 1 แถม 1เพียบเลย ตกแก้วละ 40 บาท เข้าแอปสั่งด่วนๆ 😆
📍lineman 
#ชี้เป้าโปรถูก #ไว้รีวิวห้ามขายของโว๊ยย #LINEMAN #อร่อยไปเเดก pic.twitter.com/590MKWbbfA",Yes,Price,Neutral
2020-08-22,10:22:29,pgomutbutra,เปลี่ยนจาก #foodpanda มาใช้ #LINEMAN ละคะ  pic.twitter.com/tuBZyRAAKy,Yes,Company,Neutral
2020-08-22,02:51:41,pornpruet,ยังไม่รวมทีมอื่นๆที่เหมือนทำงานกันคนละเอกภพ เก็บ GP อำมหิต แต่บริการลักกะปิดลักกะเปิด จากมุมของ คนใช้งานฝั่งร้านอาหารนะ #Lineman ตอบโจทย์สุด แล้วอย่าให้พูดถึง #Get ส่วน #Grab ช่วยรับผมเข้าร่วมซักที อยากส่งอาหารให้น้อง #BNK48,Yes,Company,Positive
2020-08-22,01:27:53,joycejeak,แต่ก่อนใช้ #GET ตอนนี้ใช้ #foodpanda เป็นหลัก แต่ถ้าไม่ถอดโฆษณาจากเครือเนชั่น ก็จะหันไปใช้ #LINEMAN ก็ได้,No,,
2020-08-21,23:29:22,aruindahouse,รีวิวการลบ Account #foodpanda แล้วหนีมาใช้ #LINEMAN ก็คือใช้ส่วนลดไปมาจนคนส่งถามว่าใช้โปรอะไร 55555555 #แบนสปอนเซอร์เนชั่น pic.twitter.com/WEBcQgvsJZ,Yes,Price,Neutral
2020-08-21,22:49:29,milfey_p,ใช้ #Lineman ได้ไม่มีปัญหาจ่ะ,Yes,Company,Neutral
2020-08-21,21:46:44,19viewy,ตั้งแต่รู้จักการสั่งอาหารผ่านไรเดอร์ เราก็สั่งผ่านไลน์แมนมาโดยตลอด สำหรับเรา กับไลน์แมนไม่เคยมีปัญหาอะไรนะ มาค่ะ มาไลน์แมนกัน #LINEMAN #foodpanda pic.twitter.com/5tzesFRFzV,Yes,Company,Neutral
2020-08-21,20:53:29,pockpak98,รอมาชั่วโมงแล้วยังไม่ขยับเลย จะยกเลิกก็โทรไม่ติด ต้องทำยังไงอะทีนี้ ?? #LINEMAN  pic.twitter.com/KV6ZpZJsJW,Yes,Employee,Negative
2020-08-20,21:28:38,choeiji,จะครบปีล่ะ ย้ายค่ายได้ #lineman #GrabFood #linemanหล่อบอกด้วย pic.twitter.com/QOG0kfGZ4P,No,,
2020-08-20,20:08:12,winneryg8,ฉันแบน สินค้าที่สนับสนุน​เนชั่นแบบจริงจัง เลิกชื้อจร้าา เจ้าอื่นก็มี คุณไม่ได้มีเจ้าเดียวในตลาดนะ #แบนสปอนเซอร์เนชั่น #foodpanda  ก็เลิกได้จร้า #GrabFoodTH #LINEMAN ก็มี ผู้บริโภค​มีสิทธิ์​ที่จะเลือกค่ะ #หยุดคุกคามประชาชน pic.twitter.com/jYU4Zg9ENZ,No,,
2020-08-20,14:18:00,mildpajingkoo,สั่งอาหารผ่านไลน์แมน รูปกับของมาคนละเรื่องกันเลย ทำอะไรได้บ้างไหม รุปเป็นเขียวหวานหมูก้อน ของกินมาเขียวหวานตีนไก่จร้าาาาาาา เขียนไว้แค่ขนมจีนแกงเขียวหวาน #lineman,No,,
2020-08-17,21:34:50,sakuraiz0ne,"#shopbackth #ShoppingOnline #ShopeePH #foodpanda #lineman #LAZADA #รับเงินฟรี
แนะนำ ShopBack เป็นตัวช่วยประหยัดเงินที่ดีมากเลย เพราะได้เงินคืนสุดคุ้มจากการช้อปร้านโปรดมากมาย สมัครผ่านลิงก์นี้ วันนี้
 แล้วรับเงินโบนัสฟรีไปเลย 100 บาท!!!
มาช้อปให้คุ้มกัน! https://app.shopback.com/tha?raf=OWG3FN",No,,
2020-08-17,15:19:03,mhueylek,หมูหวานคลุกฝุ่น เมนู recommended จาก#ร้านป้าแดงอาหารตามสั่งและข้าวมันไก่ สามารถสั่งผ่าน #Delivery #lineman #getfood #foodpanda @wongnai ได้เลยค่ะ #อร่อยบอกต่อ pic.twitter.com/Mkeho1YgAq,No,,
2020-08-16,14:02:50,pipatthana_n,เจอพี่ #LINEMAN น่ารักมากกก บริการดี๊ดี พี่พูดเพราะมากเลยง่าาา  pic.twitter.com/gYPopeiw4E,Yes,Employee,Positive
2020-08-15,17:50:41,pppopeeeye,99฿ คุ้มมากๆ #โปรดีบอกต่อ #LINEMAN  pic.twitter.com/iqXE9QSuw6,Yes,Price,Positive
2020-08-15,14:36:10,ppnye98,สาแก่มากๆ #LINEMAN  pic.twitter.com/0vOzC4hENg,No,,
2020-08-14,22:41:02,aroundthumb,โคตรแย่ #lineman  https://twitter.com/Bumchess/status/1294122524033220610 …,Yes,Company,Negative
2020-08-14,18:50:13,sirapa_h,"พักหลังก็ไม่ค่อยได้สั่งอยู่ละ
มาแบบนี้ลบแอพทันทีเลยจ้าาา
#lineman  https://twitter.com/Bumchess/status/1294122524033220610 …",Yes,Company,Negative
2020-08-14,16:00:08,caretianj,ถ้ายกเลิกร่วมร้านอาหารกับ foodpanda มีเจ้าไหนน่าสนใจบ้างคะ ปัญหาของเราคือการบวก%ที่กำลังจะเพิ่มขึ้น ถูกซ่อนหน้าร้าน ยอดน้อยลงมากจากปกติที่ก็มีไม่มากอยู่แล้ว #foodpanda #grabfood #grab #lineman #lalamove,No,,
2020-08-14,12:35:42,farlaern,ใช่เรื่องเหรอถามหน่อย #lineman พิจารณาด้วยนะคะ  pic.twitter.com/dopbLdpgcS,Yes,Company,Negative
2020-08-14,12:20:20,srslymthfcker,GRAB LINEMAN ควรใช้โอกาสชุมนุมวันที่ 16 นี้ ซื้อใจกลุ่มวัยรุ่นนศ. ด้วยการวิ่งฟรี หรือรับส่งอนุเสาวรีย์ปชต. อย่าignorant เราเชื่อว่ากำไรกว่าครึ่งของคุณ มาจากน้องๆกลุ่มนี้ทั้งนั้น #grab #lineman #เสาหลักจะหักเผด็จการ,No,,
2020-08-14,11:10:41,preawiiii,มันสมควรเอามาเป็นคอนเท้นหรอวะ? #lineman  pic.twitter.com/ji9aAxUHYd,Yes,Company,Negative
2020-08-14,09:19:31,saiparnpwch,ช้อปปิ้งออนไลน์กับ @shopback th สินค้าในแอปที่ลดราคา มาบวกกับช้อปแบคได้รับเงินคืนอีก คุ้มยิ่งกว่าคุ้ม สำหรับนักช้อป มาจ้าาา นักช้อปทั้งหลายมากองตรงเน้!!! #shopee #grab #lineman #foodpanda #เจนนี่ได้หมดถ้าสดชื่น #เสื้อผ้าสไตล์เกาหลี #เสื้อครอป https://app.shopback.com/tha?raf=uNvwmA ,No,,
2020-08-13,15:29:36,keangkla,[LINE MAN] ความท้าทายครั้งใหญ่ที่พี่ #LINEMAN ต้องก้าวข้าม  https://youtu.be/m7dKemIV0F8  via @YouTube,No,,
2020-08-12,11:53:04,getpiki,ขนมจีนแกงเขียวหวานไก่ กับน้ำมะนาวน้ำผึ้ง #ร้านเมย์มอส คาเฟ่ ชลบุรี อร่อยมากๆ สั่งเป็นรอบสองแล้ว รสจัดจ้าน น้ำเข้มข้นมาก วัตถุดิบคุณภาพมาเต็มๆ รักเลยย พูดจริมๆ ไม่มีภาพประกอบเพราะหมดเกลี้ยงใน 5 นาที 😂 #lineman อยากให้ดาวร้านในแอพ แต่หาวิธีไม่เจอ งื้ออ 😅,No,,
2020-08-10,04:03:02,dektimitim,"รสชาติที่ 2 ของ #เด็กติ๋มไอศครีม Butterfly pea Lemonology 🍋 รสอัญชันมะนาว เอาใจสายเปรี้ยวแบบสุดๆ ทานแล้วตาตื่นพร้อมทำงานที่เรารักกันรัวๆ ค่ะ 😍
#อร่อย #อร่อยบอกต่อ #อร่อยนะรู้ยัง #bkkmenu #ไอศครีม #GrabFoodTH #lineman #wongnai pic.twitter.com/OM96hyvDXw",No,,
2020-08-08,20:52:35,sprite2766,วอนแอพ  ไลน์แมน  ช่วยทำหัวข้อให้คะแนนร้านค้าแยกจากคะแนนคนขับด้วยจ้ะ  บางทีเจอร้านบ้งๆ ที่ไม่เจอรีแอคคะแนนของคนกินแล้วยังคิดว่าทำดีอยู่เนี้ย มันน่านัก  เช่นวันนี้ตะกี้ที่นี่เจอช็อคนะเอาดีๆ #lineman,Yes,System,Neutral
2020-08-08,19:04:23,yibozhan05,"ต้องลองๆ สุดจริง #GrabFoodTH 👉👉 @ArteDeliveryTo 
สั่งได้ทั้งไลน์แมน แกร๊บ 🛵 สั่งเดลิเวอรีร้าน ผ่าน Wongnai x LINE MAN ได้แล้ว
สั่งเลย 👉🏻  https://wongn.ai/saf2k  
GrabFood :  https://grab.onelink.me/2695613898?pid=inappsharing&c=3-CZLYRT5VAEWTL6&af_dp=grab%3A%2F%2Fopen%3FscreenType%3DGRABFOOD%26sourceID%3DA4pcqCZkS4%26merchantIDs%3D3-CZLYRT5VAEWTL6 …
#wongnai #lineman #GrabFood #delivery #ชากาแฟ #ข้าวหน้าเป็ดย่าง pic.twitter.com/LonK3HqQ3p",No,,
2020-08-08,18:54:35,bg20shop,"อร่อยมาก เต็มปากเต็มคำ #GrabFoodTH 👉👉 @ArteDeliveryTo 
สั่งได้ทั้งไลน์แมน แกร๊บ 🛵 สั่งเดลิเวอรีร้าน ผ่าน Wongnai x LINE MAN ได้แล้ว
สั่งเลย 👉🏻  https://wongn.ai/saf2k  
GrabFood :  https://grab.onelink.me/2695613898?pid=inappsharing&c=3-CZLYRT5VAEWTL6&af_dp=grab%3A%2F%2Fopen%3FscreenType%3DGRABFOOD%26sourceID%3DA4pcqCZkS4%26merchantIDs%3D3-CZLYRT5VAEWTL6 …
#wongnai #lineman #GrabFood #delivery #ชากาแฟ #ข้าวหน้าเป็ดย่าง pic.twitter.com/B4VLBLzcf1",No,,
2020-08-07,17:04:13,kopidephuket,"Line Man มาแล้วจ้าาาาาาาาาาา

🌊  Kopi De Phuket Cafe and Restaurant
.
🌴 ลูกค้าใหม่ #LINEMAN รับส่วนลดพิเศษ 80 บาท เมื่อสั่งเมนูโปรดครบ 120 บาท* จากร้านเจ้าเด็ดในเมืองภูเก็ตวันนี้!
.
ดาวน์โหลดและสั่งอาหารเลยวันนี้…  https://www.instagram.com/p/CDlYVReMWuD/?igshid=5rx58cxfv56j …",No,,
2020-08-07,11:50:35,patsi9320,ร้านอาหารในlinemanร้านนึงลดค่าส่งเป็นส่งฟรีจากปกติค่าส่ง70บาท แต่ไปเพิ่มค่าอาหารทุกรายการอย่างละ 30 บาท ถ้าจะทำแบบนี้อย่าออกโปรฯส่งฟรีเลยนี่ถ้าจำไม่ได้ว่ารายการอาหารที่ปกติกินอยู่แล้วราคาเท่าไหร่คงโดนหลอกให้จ่ายแพงขึ้น🤬 #lineman  pic.twitter.com/K4aGkjG4Zw,Yes,Price,Negative
2020-08-06,14:39:49,orcww0y6jvwjd97,"ครัวระฆังทอง สาขาสวนอ้อย
แนะนำเมนูใหม่
🌶🌶🌶🌶
ซาลาแลบ แซ่บสัส
กับเมนู 🥚🥚🥚
ยำมะม่วง+ไข่แดงเค็ม
กุ้งสด/กุ้งสุก/ปลาหมึก
หมูยอ/หมูกรอบ/ไก่กรอบ
ยำไข่เยี่ยวม้า+ไข่แดงเค็ม
สั่งผ่าน #GetFood #GrabFood #LineMan #Wongnai
ได้แล้ววันนี้ เปิดทุกวัน 10.00 น. - 18.00 น.
สอบถาม 0867551523 pic.twitter.com/oYzl1LMYWp",No,,
2020-08-06,14:31:08,monchhichi1643,ใครเคยสั่งข้าว lineman แล้วเจอแบบ ร้านเปิดแต่ไม่รับออเดอร์ไหมคะ ร้านนี้หลายรอบแล้ว เปิดแต่กดแคนเซิลตลอด คือไรไม่เข้าใจ  😰 #lineman #สั่งข้าว,No,,
2020-08-05,18:28:45,phimphimnara,มีความอยากทานของหวาน แต่นั่งทำงานอยู่จ้า เลยเข้าแอป #lineman สั่งมาทานที่ทำงานก็ได้ จะบอกว่าบราวนี่&เค้กช็อกโกแลต อร่อย เข้มข้น ราคาไม่แพง ที่เราสั่งมา 12-15 บาทต่อชิ้น ร้านคิงคองสวีท ตึกสิงห์คอมเพล็กซ์ อโศกจ้า #อร่อยบอกต่อ @aroii #อร่อยไปแดก #kingkongsweets #cake #brownie pic.twitter.com/HlDAScIi5h,No,,
2020-08-04,21:41:32,ton_2620,"ลุ้นเวลาสั่งอาหารตอนฝนตก 
ขอบคุณที่รับออเดอร์นะคะ 
#lineman",Yes,Employee,Positive
2020-08-04,17:58:04,emmemi,โหยแย่มากเลยค่ะพี่ #lineman ลงราคาผิดเอง หรือ ทางร้านตั้งราคาผิดนี่ไปสอบกันเองเลยนะ แต่ลูกค้าไม่ควรจะต้องมาปวดหัวแบบนี้เลยค่ะ ลงว่าขายเท่านี้ แต่ขายอีกราคานึง เข้าข่ายหลอกลวงผู้บริโภคไหม ติดป้าย กับ ราคาขายจริงไม่ตรงราคาเนี่ย 🤨,Yes,Price,Negative
2020-08-03,23:45:29,p__spchr,น่ารักอะ โดนอ้อนแบบนี้บอกตามตรงว่าใจอ่อน ไว้พรุ่งนี้จะสั่งอะไรกินผ่านเธอน้าา #lineman  pic.twitter.com/w9rhs8xveQ,Yes,Company,Positive
2020-08-03,18:00:16,moneybuffaloth,"[สรุปรายละเอียด] ""LINE MAN ซื้อกิจการ Wongnai"" กับเงินลงทุน 3,450 ล้านบาท
 https://buff.ly/39PYWrV 
#LINEMAN #Wongnai #ธรกิจและเศรษฐกิจ #MoneyBuffalo",No,,
2020-08-03,11:05:54,mariedoughnuth1,เมนูใหม่ เร็วๆนี้ค่าาา ~ #โดนัท #Donuts #homemade #อร่อยจนต้องรีวิว #อร่อยบอกต่อ #รีวิวคาเฟ่ #รีวิว #อร่อยไปแดก #doughnuts #marie #GrabFood #lineman #Thailand #Bangkok #ฝากร้าน #ฝนตก #ทีมมศว #รีวิวของกิน pic.twitter.com/GAIW9Kl5JM,No,,
2020-08-02,11:08:15,phitchasiri2,"#เหยื่อการตลาด  เมื่อเห็นว่า 2 แอฟเค้ามีโปร  
แล้วนึกว่าเรานี่แหละ  ต้องได้ของถูกที่สุด!! 
.
ผลออกมา สั่งจากLine Man แล้วพบว่าขนาดเล็กลงเกือบครึ่ง  เลยมาเพ่งที่โปรอีกครั้ง 

‘ไพน์’  ไม่เท่ากับ  ‘ควอท’   กระจ่างมาก!! 

#อยากได้ของถูก #อยากได้แบบควอท
#Lineman #foodpanda pic.twitter.com/e5BaIqXSjC",Yes,Price,Neutral
2020-07-31,18:06:01,beartai,#LINEMAN จับมือกับ #Wongnai! โดยเราจะสามารถสั่งอาหารจากร้านที่อยู่บนฐานข้อมูลของ #Wongnai ได้ เพราะตลาดของ #LINEMAN ที่กำลังเติบโตขึ้นเรื่อย ๆ ดังนั้นการควบรวมกันในครั้งนี้ก็ยิ่งทำให้มีพันธมิตรร้านอาหารเพิ่มขึ้นอีกด้วย #beartai https://buff.ly/3jX0Njm,No,,
2020-07-31,10:22:51,gulovelorn,รีวิว ร้านอาหารจาก lineman ร้านเฮียหมูอาหารตามสั่ง อยู่แถวๆมจพ สั่งมาแล้วคือมีความรู้สึกว่าพอค่าจะไม่ได้เงินจากฉันอีก รอบเดียวเอาเปรียบกันสุดๆ มันเกินไปไหมอ่ะ เข้าใจนะยุคนี้เศรษฐกิจไม่ดีแต่ว่าโทษนะคะะะ หนูสั่งทะเล มันน่าโมโหที่หมูสักชิ้นก็ไม่มี #lineman #อร่อยบอกต่อ pic.twitter.com/Twa5k3kYjM,No,,
2020-07-30,19:56:07,teddy64091003,"food delivery ปีนี้ระอุ! ได้ฐานไปอีกกี่ร้านเนี่ย! 

#LINEMAN
#วงใน pic.twitter.com/fa1icNHzCy",No,,
2020-07-30,19:51:47,sugahamster,เฮลโล่พี่ #LINEMAN พี่มีปัญหาอะไรกับร้าน/จข.ร้านนี้หรือเปล่า กดรับแต่ในmapนิ่งไม่ขยับไม่ไปร้าน พี่ทำเพื่อ? คิดว่าเราสั่งเล่นๆหรอ เรื่องกินเราไม่เคยเล่นๆนะ ตอนแรกนึกว่าจข.ร้านไม่ชอบใจที่เราสั่งก๋วยเตี๋ยวมะระแต่ไม่เอาเลือดกับมะระ เลยกดยกเลิก แต่บางครั้งก็สั่งได้ เป็นงงแล้วนะ!! 😡  pic.twitter.com/LOTeHkmyy1,Yes,Employee,Negative
2020-07-30,19:36:40,sikares,"#LineMan ลงทุน 3,300 ล้านบาท กิจการ #Wongnai  https://www.thebangkokinsight.com/405139/  pic.twitter.com/QGhQPhjMIj",No,,
2020-07-29,13:40:58,chakrasue1,บ่ายนี้ เติมความสดชื่นด้วย🥤อัญชันมะนาว🍋 กันไหม #ชากระสือ #ง่วงแหละดูออก #ทุกคนรู้แฟนคลับรู้ #แต่เจ้านายต้องไม่รู้🤭 สั่งเลยผ่าน  #grab #lineman #Weserve​🛵 @ ชากระสือ  https://www.instagram.com/p/CDN16p8JWPd/?igshid=1mjcna1xwj3qd …,No,,
2020-07-29,09:28:04,rajimoraraji,"ในฐานะที่เป็นเจ้าของร้านอาหารออนไลน์แบบไม่มีหน้าร้าน ใช้บริการแบบส่งฟรีผ่านแอพต่างๆ ทางร้านเราจะต้องแบกรับค่าส่งให้ลูกค้าทั้งหมด เช่น ข้าวกระเพรา 55 บาท/ออเดอร์ เราต้องเสียค่าส่ง/ออเดอร์ให้แอฟนั้น 34-35 บาท/ออเดอร์ ซึ่งขายไม่ได้กำไลหรอกค่ะ 
#foodpandaTH #lineman",Yes,Price,Neutral
2020-07-28,00:33:23,pensriiix,เคยทำเองแล้วเขินเองป่ะ เค้าพึ่งถ่ายมาให้ดูว่า #Lineman เขียนไว้ที่บิลอ่าแง้ ไม่เนียนเลย 😳😳😳  pic.twitter.com/91yioX6vF3,No,,
2020-07-27,20:01:07,jilljinmoo,"ทุกวันนี้มีคนคุยไม่ซ้ำหน้า 😘 บางทีก็เข้ามาพร้อมๆ กัน ไหนจะ #Grab ไหนจะ #foodpanda ยังมี #Get , #LineMan นี่ยังไม่รวม #Kerry #ไปรษณีย์ #J&T ฯลฯ อีกนะ ไม่อยากจะคุย 🤪🤣😂 #ว่าซั่น #อย่าหาทำ  https://www.instagram.com/p/CDJX1TRjp3h/?igshid=2t170j0c1ijt …",No,,
2020-07-27,13:06:18,sisnook33,"เปิดร้านวันแรกจร้าใครอยู่แถวพระราม2กดสั่งได้เลยน้าาาา #ขายของ #lineman
 https://wongn.ai/wxnah",No,,
2020-07-26,17:01:21,whateversayy,ขับรถจอดเรียบร้อย ไม่ลง เข้าไลน์แมนสั่งชานมไข่มุก ดันมีโปร 4 แก้ว แต่เดี๋ยวก่อน มึงอยู่คนเดียวครับ.. #lineman  pic.twitter.com/35JjJCyyYq,Yes,Price,Neutral
2020-07-26,14:56:34,natsuki13,โปรเชสเตอร์ line man คุ้มมั่กๆ หมดนี่ 57 บาท ได้ทั้งข้าวไก่กรอบ สลัด นักเก็ต แป๊ปซี่ ครบ!! ค่าส่ง3กิโลแรกฟรีไปอีก นัทจังอีสแฮพพรี่~~ 😋😋😋 #lineman #chestersgrill #ข้าวไก่กรอบซอสน้ำปลา pic.twitter.com/pbDdjS2Rc6,Yes,Price,Positive
2020-07-26,12:40:10,evechax__,ใครเปิดร้านค้า แล้วใช้บริการกับไลน์แมนบ้าง พอดีเราเปิดร้านชาไข่มุกแล้วสมัครพาร์ทเนอร์กับไลน์แมน เลยสมัครบริการค่าส่ง10.-ไป ใช้เวลานานขนาดนี้เลยหรอ #ไลน์แมน #LINEMAN  pic.twitter.com/ZlnfbA8Qln,No,,
2020-07-22,16:03:47,eatguideth,"#GAGA โปรลดสนั่นถึง 60% ซื้อ 4 แก้ว เพียง 140 บาทจ้าา แท็กเพื่อนมาหารกันให้ไวเลยจ้าาา โปรแบบนี้คุ้มสุด ๆ ไปเลยย ชานมไข่มุกไซซ์ L 4 แก้ว ในราคาเพียง 140 บาท ถูกมากกแม่ กดสั่งเลยจ้าา ซื้อผ่านแอป Line Man 
🗓 วันนี้ - 2 ส.ค. 63 
@aroii #ชานม #gaga #lineman  pic.twitter.com/aztBv5vFh0",Yes,Price,Positive
2020-07-22,07:55:52,jk_is_husband,"อยากทำแซนวิสอินกิกาโยขาย ในพวกไลน์แมน แก๊บฟู้ด จะมีคนสนใจมั้ย
#kpop #idol #LINE #ไลน์แมน #lineman #Gradfood #ของดีต้องบอกต่อ #ของดีในเซเว่น #แซนวิส #แซนวิสเกาหลี #อาหารเกาหลี #MSSxSeasonOfYouT1 #อร่อยบอกต่อ #ของดีต้องบอกต่อ #YourEyesTell pic.twitter.com/L3GYTNLNwb",No,,
2020-07-20,06:45:11,zebraaa00,ร้านข้าวหมูแดงหมูกรอบราชบุรี สั่งผ่าน #LINEMAN ได้แล้วนะคะ ค่าส่งเริ่มต้น10บาท3กิโลเมตรแรก #lineman #หนองแขม #บางแค #คลองขวาง #สายสี่ #เพชรเกษม pic.twitter.com/4ZCNtpW8VS,Yes,Price,Neutral
2020-07-19,12:40:26,jenniihyun,ไก่ทอดเกาหลีร้าน gugu chicken อร่อยยมากทุกคนสั่งจาก #Lineman ลด30% เซต10ชิ้นจาก209฿ เหลือ 147฿  🍗✨คือแบบคุ้มมากกกกกไก่กรอบกรุบๆ ไห่ชิ้นใหญ่เรากินได้2มื้ออะเยอะมาก ปล.นี่อยู่ไกลค่าส่งค่อนข้างแพง 🥺😂  pic.twitter.com/XPJ1cMdYT3,Yes,Price,Positive
2020-07-19,12:08:49,bj_m1kan,แถวลพบุรี-สระบุรีน่าจะมี #GrabFood ไม่ก็ #LINEMAN บ้างนะ,Yes,Company,Neutral
2020-07-18,16:38:20,jasuda_wilai,Dakasi x Lineman ชานมไข่มุก มาในราคา 4 แก้ว 105 #ของดีบอกต่อ #อร่อยไปเเดก #Dakasi #LINEMAN  pic.twitter.com/X2hHf18OEs,Yes,Price,Neutral
2020-07-17,15:54:14,felixxrosier,เมื่อกี้สั่งไลน์แมนแล้วคนขับเป็นผญ.มีอายุหน่อย พอเค้ามาถึงแล้วแบบ นี่ค่ะลูก ขอบคุณค่ะลูก แง น่ารักมากเลยค่ะ TT คุณศิริลักษณ์ จำนามสกุลไม่ได้ แถวๆดอนเมือง #lineman,Yes,Employee,Positive
2020-07-17,15:19:03,hareefah,"วันสุดท้าย ได้กินล้าวววววว เฝ้ากดมา 4 วัน 20 ชิ้น 193 บาท เองแกร๊
#วิงซ์แซ่บ10แถม10 #lineman #ของดีกินไปเถอะ #KFC #วิงซ์แซ่บ pic.twitter.com/BqHSglIQil",Yes,Price,Neutral
2020-07-17,11:02:52,bemebemild,อิห่า สั่งผัดกะเพราไป โน้ตไปตัวโตๆ ว่าไม่เอาถั่วฝักยาว ข้าวโพดอ่อน สรุปร้านแม่งใส่มาทั้งข้าวโพดอ่อนทั้งหอมใหญ่ นั่นบ้านมึงเรียกผัดกะเพราหรอค้าคุณพี่ค้าาาาา อหทำไมไม่มีให้รีวิววะ แม่ง โมโห แล้วตั้งแพงนะ 70฿ ได้ส้นติงอะไรมาไม่รู้เนี่ย #lineman #ไลน์แมน pic.twitter.com/myUXE4pMQo,No,,
2020-07-16,13:00:13,supi_ben,"ด้วยความที่อยากกินเล่นสั่งพิเศษเลยจร้าอีแม่เอ๋ย แล้วคือเยอะมากกกก รสชาติถือว่าโอเคร เครื่องแน่นเว่อ  รวมแล้วคือดีงาม
📍ร้านเจี๊ยบก๊วนจั๊บ-กระเพาะปลา
📍ตลาดบางประกอก
✅สั่งผ่านรายแมนค่าส่งฟรี
#ร้านเจี๊ยบก๊วนจั๊บ-กระเพาะปลา 
#Lineman #Wongnai 
16-07-2563 By.Paded_Ben pic.twitter.com/d83JUNBJMx",No,,
