date,time,tweet,Food Delivery,Aspect,Sentiment
2020-08-30,19:33:16,#foodpanda ปิดร้านกูทุกชั่วโมงเลยกูจะบ้า,Yes,System,Negative
2020-08-30,18:53:26,สั่งออเดอร์ไว้ตั้งแต่เช้าให้มาส่งตอน 18.45 เลยเวลามาเราก็รอผิดปกติแปลกๆดข้ามาเช็คระบบล่ม???? กุจะกินไรตอนนี้ ยกเลิกก็ไม่ได้ รับผิดชอบยังไงอะ #foodpanda,Yes,System,Negative
2020-08-30,18:46:31,พึ่งเข้ามาส่องแท็กนอกจากสนับสนุนเนชั่นบางเขตยังมีข่มขู่ driver ล่าสุดประสบการณ์ใช้งานตรงคือระบบล่มตอนกดจ่าย pick up นางตัดเงินฉันละหายไปเลยโจรมากแม่ของไม่ได้ต้องจ่ายสดเองอีก #foodpanda,Yes,System,Negative
2020-08-30,16:50:16,ยกเลิกออเดอร์foodpanda ยังไงคะ จะกดไปยกเลิกแต่ไม่ให้ยกเลิก คือมันเลยเวลาที่ควรส่งไปแล้ว สั่งน้ำไปชั่วโมงละป่านี้คงละลายไปหมดแล้วมั้ง #foodpandaTH #foodpanda,Yes,System,Negative
2020-08-30,15:52:08,@foodpanda_th อบรมมารยาทพนักงานส่งบ่างมั้ยคะ? ออเดอร์ #w7wn-quss พนงมารยาททรามมากพูดจาแย่ ทำท่าทางไม่พอใจตั้งแต่ถามทางทั้งที่ใส่ไว้หมดละ ถามราคาก็ตอบแบบแย่ๆ ละวางของทิ้งไว้ละพูดว่า อยู่เนี่ย หยิบเอง นี่ลูกค้ารอมา 2 ชม.แล้วยังต้องเจอแบบนี้อีกหรอคะ????? #foodpanda,Yes,Employee,Negative
2020-08-30,15:46:30,ยกเลิกออเดอร์สั่ง foodpanda แล้วไปสั่ง Grab แทนไปละ ไม่ต้องรอได้กินตรงเวลา #foodpanda,Yes,Employee,Negative
2020-08-30,15:28:42,ส่งไม่ได้ก็ให้ยกเลิกด้วยค่ะให้รอหิวเพื่อำรจะได้ไปกินเจ้าอื่น ล่มละกันซีนไม่ให้สัางเจ้าอื่นเหรออีเปรต #foodpanda,Yes,System,Negative
2020-08-30,15:24:23,#foodpanda ระบบพังแล้วก็แบบไม่รู้เวลาเลยจ้าว่าจะมาเมื่อไหร่ เริ่มจะเบื่อแล้วน้า  pic.twitter.com/xdNOtht3pZ,Yes,System,Negative
2020-08-30,15:19:54,ค่ะก็ มาล่มอะไรตอนนี้ อีเวร #foodpanda  pic.twitter.com/z9pFwDilHs,Yes,System,Negative
2020-08-30,15:16:18,สั่งเสร็จตัดบัตรเสียตังระบบล่มปั๊ปอะอิควั่ยข้าวมื้อแรกกู #foodpanda,Yes,System,Negative
2020-08-30,15:15:57,เฮ้ยยยย ชั่วโมงนึงแล้ว เพราะระบบดันล่ม ตกลงร้านที่สั่งได้ออเดอร์จากกูป่ะ ตัดบัตรไปแล้วเนี่ย ยกเลิกยังไง ติดต่อที่ไหนได้บ้าง #foodpanda,Yes,System,Negative
2020-08-30,15:15:16,แงงง พิเป็นอะไรตอนนี้ไม่ได้นะคะ 😭 #foodpanda,Yes,System,Neutral
2020-08-30,15:14:11,มาล่มไรตอนนี้ค๊าาาา หิวค่ะพส. ยกเลิกไปสั่งกับอีกแอพก็ไม่ได้ #foodpanda,Yes,System,Negative
2020-08-30,15:12:04,จะชั่วโมงนึงแล้วนะ จะมาล่มอะไรตอนนี้เนี่ย หิวว #foodpanda,Yes,System,Negative
2020-08-30,15:10:49,"#foodpanda 
เบอร์ติดต่อ call center ในแอปก็ไม่มี
ไปเซิร์ชกูเกิ้ลก็โทรไม่ติด
การบริการอาหารสื่อสารกับลูกค้าแค่แชท กับอีเมลนี่คือมันจะทันกินมั้ยคะ
1 ชั่วโมงกว่า อาหารยังไม่มา ไม่มีใครโทรมาอัปเดตอะไร คนหิวจะเป็นลมตายก่อนมั้ยคะ
ช่วยรับผิดชอบอะไรหน่อยเถอะค่ะ
เพจก็ทักไป เมลก็ส่ง ไม่ตอบ",Yes,Company,Negative
2020-08-30,15:02:00,#foodpanda พอกูจะสั่งทำไมแอปถึงล่ม หิวค่ะ,Yes,System,Negative
2020-08-30,14:56:02,ฟู๊ดแพนด้าระบบล่ม สั่งอาหารไปเป็นชั่วโมงไม่ได้สะทีไม่มีแจ้งห่าไรกลับมาเลยต้องโทรไปที่ร้านอาหารถึงจะรู้ว่าระบบล่ม #foodpanda,Yes,System,Negative
2020-08-30,14:55:37,@foodpanda_th ออเดอร์ไปเกือบ 1 ชั่วโมงแล้วนะ ยังไม่ได้รับเลย หักบัตรไปแล้วด้วย #foodpanda #foodpandath pic.twitter.com/pW7uI7Cepn,Yes,Employee,Negative
2020-08-30,14:55:12,คุณพรี่เป็นอะไรค้าาา  โมโหว้อย ภายในห้านาทีบ้าบอสิรอมาเป็นชมแล้ว ล่มเก่งล่มบ่อยย #foodpanda,Yes,System,Negative
2020-08-30,14:54:23,ดิชั้นงง คุณพี่มาล่มอะไรตอนนี้คะ คนหิวข้าวค่ะ คุณพี่จะเล่นกับความหิวของคนหรอคะ รอมาเป็นชม.แล้ว #foodpanda,Yes,System,Negative
2020-08-30,14:53:50,"สั่งไปแล้วก่อนมันขัดข้องแบบนี้จะได้แดกมั้ยเนี่ยมอหอว้อยยยยหิวววววว
#foodpanda",Yes,System,Negative
2020-08-30,14:52:10,#foodpanda มันเป็นไรง่ะ ขึ้นร้านปิดชั่วคราวหมดเลย,Yes,System,Neutral
2020-08-30,14:51:10,ก็ว่าสั่งไปตั้งนานอาหารไม่ได้ อยู่ๆก็ล่มมมม แง้ หิววว #foodpanda,Yes,System,Negative
2020-08-30,14:46:52,อ่อมม แอพล่มรึยังไงคะ? คือหิวมากก สั่งข้าวไม่ได้! #foodpanda,Yes,System,Negative
2020-08-30,14:44:35,คุณพรี่เป็นห่าอะไร ฉันหิว #foodpanda,Yes,System,Negative
2020-08-29,16:17:45,สั่ง foodpanda รอ5นาทีมานานแล้ว เพราะอะไรหรือ #foodpanda,Yes,Employee,Neutral
2020-08-29,15:19:28,กดลบแอพ #foodpanda,Yes,Company,Negative
2020-08-29,15:18:50,เรากดสั่งน้ำไปเยอะเกินเพราะแค่จะลองกดว่าจะได้ส่วนลดมั๊ย แต่ส่วนลดหมด แล้วก็เกิดกดสั่งไป แต่เราตัดบัตร เลยจะขอยกเลิก แต่ทางfoodpanda บอกว่าถ้ายกเลิกจะไม่ได้เงินคืน นี้ยังไงหรอคะ #foodpanda #foodpandaTH pic.twitter.com/VDB6zCrQle,Yes,Company,Negative
2020-08-29,14:34:48,"ขอ blame #foodpanda หน่อยนะ
-ชั้นสั่งตำไข่เค็ม ได้ปูปลาร้า
-แถมแคปหมูมา ไม่ต้อง กูจัดฟันค่ะ 
-ตอนแรกบอก 15 นาที ไปๆมาๆ ต้องรอเพิ่มเพราะติดอีกออร์เดอร์นึง ( อันนี้พี่คนมาสั่งบอก)

ขอเลิกสั่งฟู้ดแพนด้าตลอดไป บาย!!!!
ห่วย
#เลิกแดก pic.twitter.com/jTVUmQZzop",Yes,Employee,Negative
